year,city,category,value
2012,岡山市,建設,0.9576
2012,倉敷市,建設,1.2358
2012,津山市,建設,1.3895
2012,玉野市,建設,1.1269
2012,笠岡市,建設,1.0736
2012,井原市,建設,0.9215
2012,総社市,建設,0.8745
2012,高梁市,建設,1.1858
2012,新見市,建設,1.8648
2012,備前市,建設,0.9166
2012,瀬戸内市,建設,0.8013
2012,赤磐市,建設,1.4192
2012,真庭市,建設,1.8373
2012,美作市,建設,1.6643
2012,浅口市,建設,0.9567
2012,和気町,建設,1.1218
2012,早島町,建設,1.9596
2012,里庄町,建設,0.3696
2012,矢掛町,建設,1.8108
2012,新庄村,建設,3.1223
2012,鏡野町,建設,1.6421
2012,勝央町,建設,1.7242
2012,奈義町,建設,2.603
2012,西粟倉村,建設,2.415
2012,久米南町,建設,1.7045
2012,美咲町,建設,2.0649
2012,吉備中央町,建設,1.2101
2012,岡山市,製造,0.6259
2012,倉敷市,製造,1.0747
2012,津山市,製造,0.7641
2012,玉野市,製造,1.2118
2012,笠岡市,製造,1.5983
2012,井原市,製造,2.7358
2012,総社市,製造,2.0239
2012,高梁市,製造,1.2103
2012,新見市,製造,0.9831
2012,備前市,製造,1.3562
2012,瀬戸内市,製造,1.6931
2012,赤磐市,製造,2.1693
2012,真庭市,製造,1.1668
2012,美作市,製造,0.988
2012,浅口市,製造,1.1747
2012,和気町,製造,1.5419
2012,早島町,製造,0.7502
2012,里庄町,製造,3.2976
2012,矢掛町,製造,2.3542
2012,新庄村,製造,0.7666
2012,鏡野町,製造,0.8973
2012,勝央町,製造,1.5591
2012,奈義町,製造,1.2622
2012,西粟倉村,製造,1.5717
2012,久米南町,製造,0.4786
2012,美咲町,製造,0.9747
2012,吉備中央町,製造,1.9703
2012,岡山市,輸送関連,0.8197
2012,倉敷市,輸送関連,1.0305
2012,津山市,輸送関連,0.3799
2012,玉野市,輸送関連,1.1609
2012,笠岡市,輸送関連,0.9673
2012,井原市,輸送関連,0.7425
2012,総社市,輸送関連,0.5431
2012,高梁市,輸送関連,0.751
2012,新見市,輸送関連,1.1129
2012,備前市,輸送関連,2.9367
2012,瀬戸内市,輸送関連,0.8888
2012,赤磐市,輸送関連,0.6877
2012,真庭市,輸送関連,0.3766
2012,美作市,輸送関連,0.4926
2012,浅口市,輸送関連,0.6736
2012,和気町,輸送関連,0.403
2012,早島町,輸送関連,0.9962
2012,里庄町,輸送関連,0.1413
2012,矢掛町,輸送関連,1.0025
2012,新庄村,輸送関連,0.4835
2012,鏡野町,輸送関連,0.2303
2012,勝央町,輸送関連,0.342
2012,奈義町,輸送関連,0.3257
2012,西粟倉村,輸送関連,0.084
2012,久米南町,輸送関連,0.1986
2012,美咲町,輸送関連,0.9385
2012,吉備中央町,輸送関連,0.1816
2012,岡山市,販売関連,1.2027
2012,倉敷市,販売関連,0.9633
2012,津山市,販売関連,1.1693
2012,玉野市,販売関連,0.8391
2012,笠岡市,販売関連,0.7628
2012,井原市,販売関連,0.5963
2012,総社市,販売関連,0.6829
2012,高梁市,販売関連,0.8354
2012,新見市,販売関連,0.9046
2012,備前市,販売関連,0.8856
2012,瀬戸内市,販売関連,0.8954
2012,赤磐市,販売関連,0.6156
2012,真庭市,販売関連,0.9968
2012,美作市,販売関連,0.755
2012,浅口市,販売関連,0.7722
2012,和気町,販売関連,0.6535
2012,早島町,販売関連,0.7073
2012,里庄町,販売関連,0.6086
2012,矢掛町,販売関連,0.7693
2012,新庄村,販売関連,1.5856
2012,鏡野町,販売関連,1.5368
2012,勝央町,販売関連,0.6029
2012,奈義町,販売関連,0.9098
2012,西粟倉村,販売関連,1.8784
2012,久米南町,販売関連,1.4506
2012,美咲町,販売関連,0.6483
2012,吉備中央町,販売関連,0.728
2012,岡山市,業務管理・事務関連,0.9158
2012,倉敷市,業務管理・事務関連,0.8909
2012,津山市,業務管理・事務関連,0.8972
2012,玉野市,業務管理・事務関連,0.6996
2012,笠岡市,業務管理・事務関連,0.4913
2012,井原市,業務管理・事務関連,0.2991
2012,総社市,業務管理・事務関連,0.6888
2012,高梁市,業務管理・事務関連,1.5728
2012,新見市,業務管理・事務関連,0.4406
2012,備前市,業務管理・事務関連,0.2617
2012,瀬戸内市,業務管理・事務関連,0.2573
2012,赤磐市,業務管理・事務関連,0.1942
2012,真庭市,業務管理・事務関連,0.3826
2012,美作市,業務管理・事務関連,0.2612
2012,浅口市,業務管理・事務関連,0.3565
2012,和気町,業務管理・事務関連,0.3692
2012,早島町,業務管理・事務関連,1.1379
2012,里庄町,業務管理・事務関連,0.3538
2012,矢掛町,業務管理・事務関連,0.2735
2012,新庄村,業務管理・事務関連,0
2012,鏡野町,業務管理・事務関連,0.1896
2012,勝央町,業務管理・事務関連,0.8635
2012,奈義町,業務管理・事務関連,0.0272
2012,西粟倉村,業務管理・事務関連,0
2012,久米南町,業務管理・事務関連,2.2377
2012,美咲町,業務管理・事務関連,0.152
2012,吉備中央町,業務管理・事務関連,0.1227
2012,岡山市,農林水産,0.491490341
2012,倉敷市,農林水産,0.441452866
2012,津山市,農林水産,0.903801362
2012,玉野市,農林水産,1.008175062
2012,笠岡市,農林水産,3.674039239
2012,井原市,農林水産,1.492047387
2012,総社市,農林水産,1.662786831
2012,高梁市,農林水産,0.930592676
2012,新見市,農林水産,4.79502546
2012,備前市,農林水産,1.259260814
2012,瀬戸内市,農林水産,5.414642779
2012,赤磐市,農林水産,2.122477759
2012,真庭市,農林水産,3.593980501
2012,美作市,農林水産,1.817251278
2012,浅口市,農林水産,0.216963038
2012,和気町,農林水産,2.550716751
2012,早島町,農林水産,0
2012,里庄町,農林水産,0
2012,矢掛町,農林水産,0.4510566
2012,新庄村,農林水産,13.9243444
2012,鏡野町,農林水産,10.11784311
2012,勝央町,農林水産,6.564799095
2012,奈義町,農林水産,15.97851006
2012,西粟倉村,農林水産,0
2012,久米南町,農林水産,10.29512697
2012,美咲町,農林水産,13.80947243
2012,吉備中央町,農林水産,6.056011572
2012,岡山市,サービス業,1.025674085
2012,倉敷市,サービス業,0.849046735
2012,津山市,サービス業,0.916994683
2012,玉野市,サービス業,0.861305174
2012,笠岡市,サービス業,0.570348269
2012,井原市,サービス業,0.461121782
2012,総社市,サービス業,0.672927253
2012,高梁市,サービス業,0.777968758
2012,新見市,サービス業,0.90854265
2012,備前市,サービス業,0.662802496
2012,瀬戸内市,サービス業,1.173144791
2012,赤磐市,サービス業,0.478589968
2012,真庭市,サービス業,0.912290129
2012,美作市,サービス業,1.586011308
2012,浅口市,サービス業,1.280826022
2012,和気町,サービス業,0.674397538
2012,早島町,サービス業,0.692965416
2012,里庄町,サービス業,0.339502007
2012,矢掛町,サービス業,0.360716368
2012,新庄村,サービス業,0.876555074
2012,鏡野町,サービス業,0.718405843
2012,勝央町,サービス業,0.706187852
2012,奈義町,サービス業,0.511842347
2012,西粟倉村,サービス業,0.248194946
2012,久米南町,サービス業,0.730769559
2012,美咲町,サービス業,0.894980863
2012,吉備中央町,サービス業,0.491245829
